Provider,FilePath,Tags,RelatedUrl,ServiceName,Description,Categories,Notes,CheckTitle,CheckAliases,DependsOn,SubServiceName,CheckType,CheckID,Remediation,Severity,RelatedTo,ResourceIdTemplate,ResourceType,Risk
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_no_secrets_in_variables/codebuild_project_no_secrets_in_variables.metadata.json,,https://docs.aws.amazon.com/codebuild/latest/userguide/how-to-create-project-console.html,codebuild,This check ensures that AWS CodeBuild projects do not contain secrets in environment variables.,[],,Ensure CodeBuild projects do not contain secrets on plaintext environment variables,,[],,['Security Best Practices'],codebuild_project_no_secrets_in_variables,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/codebuild-controls.html#codebuild-2', 'Terraform': ''}, 'Recommendation': {'Text': 'Do not store secrets in plaintext environment variables. Use AWS Secrets Manager or AWS Systems Manager Parameter Store to securely store and retrieve sensitive information.', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/change-project.html'}}",critical,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,"Using plaintext AWS credentials in CodeBuild project environment variables can expose these sensitive keys, leading to unauthorized access and potential security breaches."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_user_controlled_buildspec/codebuild_project_user_controlled_buildspec.metadata.json,,,codebuild,Ensure CodeBuild Project uses a controlled buildspec,[],,Ensure CodeBuild Project uses a controlled buildspec,,[],,"['Software and Configuration Checks', 'Industry and Regulatory Standards']",codebuild_project_user_controlled_buildspec,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Use buildspec.yml from a trusted source which user cant interfere with', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/security.html'}}",medium,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,The CodeBuild projects with user controlled buildspec
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_report_group_export_encrypted/codebuild_report_group_export_encrypted.metadata.json,,https://docs.aws.amazon.com/codebuild/latest/userguide/report-group-export-settings.html,codebuild,Ensure that CodeBuild report group exports are encrypted at rest.,['encryption'],,CodeBuild report group exports are encrypted at rest,,[],,[],codebuild_report_group_export_encrypted,"{'Code': {'CLI': 'aws codebuild update-report-group --arn <report-group-arn> --export-config ""exportConfigType=S3, s3Destination={bucket=, encryptionDisabled=true}""', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/codebuild-controls.html#codebuild-7', 'Terraform': ''}, 'Recommendation': {'Text': 'Configure CodeBuild report group exports to use encryption at rest. This can be done by specifying a KMS key ID when creating or updating the report group.', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/report-group-export-settings.html'}}",medium,[],arn:partition:service:region:account-id:resource-id,Other,"If CodeBuild report group exports are not encrypted, sensitive data could be exposed to unauthorized access."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_source_repo_url_no_sensitive_credentials/codebuild_project_source_repo_url_no_sensitive_credentials.metadata.json,,https://docs.aws.amazon.com/config/latest/developerguide/codebuild-project-source-repo-url-check.html,codebuild,This check ensures an AWS CodeBuild project source repository URL doesn't contain personal access tokens or a user name and password. The check fails if the source repository URL contains personal access tokens or a user name and password.,[],,Ensure CodeBuild project source repository URLs do not contain sensitive credentials,,[],,['Security Best Practices'],codebuild_project_source_repo_url_no_sensitive_credentials,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/codebuild-controls.html#codebuild-1', 'Terraform': ''}, 'Recommendation': {'Text': 'Update your CodeBuild project to use OAuth instead of personal access tokens or basic authentication in your repository URLs.', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/use-case-based-samples.html'}}",critical,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,"Storing or transmitting sign-in credentials in clear text or including them in the source repository URL can lead to unintended data exposure or unauthorized access, potentially compromising the security of the system."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_s3_logs_encrypted/codebuild_project_s3_logs_encrypted.metadata.json,,https://docs.aws.amazon.com/codebuild/latest/userguide/change-project.html#change-project-console-logs,codebuild,Ensure that the S3 logs for CodeBuild projects are encrypted at rest.,"['encryption', 'logging']",,Ensure S3 Logs for CodeBuild Projects are encrypted at rest.,,[],,['Effects/Data Exposure'],codebuild_project_s3_logs_encrypted,"{'Code': {'CLI': 'aws codebuild update-project --name <project-name> --logs-config ""s3Logs={status=ENABLED, location=<bucket-name>/<path>, encryptionDisabled=false""}', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/codebuild-controls.html#codebuild-3', 'Terraform': ''}, 'Recommendation': {'Text': ""Ensure that the CodeBuild project's S3 logs are encrypted at rest by setting the `encryptionDisabled` parameter to `false` in the `s3Logs` configuration."", 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/change-project.html#change-project-console-logs'}}",low,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,"If the logs are not encrypted, sensitive information could be exposed to unauthorized users."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_older_90_days/codebuild_project_older_90_days.metadata.json,,,codebuild,Ensure CodeBuild Project has been invoked in the last 90 days,[],,Ensure CodeBuild Project has been invoked in the last 90 days,,[],,"['Software and Configuration Checks', 'Industry and Regulatory Standards']",codebuild_project_older_90_days,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Check if CodeBuild project are really in use and remove the stale ones', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/delete-project.html'}}",medium,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,Older CodeBuild projects can be checked to see if they are currently in use.
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/codebuild/codebuild_project_logging_enabled/codebuild_project_logging_enabled.metadata.json,,https://docs.aws.amazon.com/codebuild/latest/userguide/change-project.html#change-project-console-logs,codebuild,Ensure that CodeBuild projects have S3 or CloudWatch logging enabled.,['logging'],,Ensure that CodeBuild projects have S3 or CloudWatch logging enabled,,[],,[],codebuild_project_logging_enabled,"{'Code': {'CLI': 'aws codebuild update-project --name <project-name> --logs-config ""cloudWatchLogs={status=ENABLED},s3Logs={status=ENABLED""}', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/codebuild-controls.html#codebuild-4', 'Terraform': ''}, 'Recommendation': {'Text': 'Enable logging for CodeBuild projects to capture build events and logs for future analysis and incident response.', 'Url': 'https://docs.aws.amazon.com/codebuild/latest/userguide/change-project.html#change-project-console-logs'}}",medium,[],arn:partition:service:region:account-id:resource-id,AwsCodeBuildProject,"Without logging, tracking and investigating security incidents in CodeBuild projects becomes challenging, reducing confidence in threat detections."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/kinesis/kinesis_stream_data_retention_period/kinesis_stream_data_retention_period.metadata.json,,https://docs.aws.amazon.com/config/latest/developerguide/kinesis-stream-backup-retention-check.html,kinesis,Ensure Kinesis streams have an adequate data retention period.,[],,Kinesis streams should have an adequate data retention period.,,[],,['Software and Configuration Checks/Industry and Regulatory Standards/AWS Foundational Security Best Practices'],kinesis_stream_data_retention_period,"{'Code': {'CLI': 'aws kinesis increase-stream-retention-period --stream-name <stream-name> --retention-period-hours <hours>', 'NativeIaC': '', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/kinesis-controls.html#kinesis-3', 'Terraform': ''}, 'Recommendation': {'Text': 'Configure an adequate data retention period for Kinesis streams to ensure data is available for the required timeframe. Set the retention period based on your application’s data retention requirements, and consider at least 168 hours (or customize as necessary).', 'Url': 'https://docs.aws.amazon.com/streams/latest/dev/kinesis-extended-retention.html'}}",medium,[],arn:partition:kinesis::account-id:stream/stream-name,AwsKinesisStream,"An inadequate data retention period may result in data records being deleted before they can be processed or backed up, increasing the risk of data loss. This is especially critical for applications that rely on historical data availability for analysis, monitoring, and recovery in case of failures."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/kinesis/kinesis_stream_encrypted_at_rest/kinesis_stream_encrypted_at_rest.metadata.json,,https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingKMSEncryption.html,kinesis,Ensure Kinesis streams use server-side encryption with AWS KMS keys for data protection.,[],,Kinesis streams should be encrypted at rest.,,[],,['Software and Configuration Checks/Industry and Regulatory Standards/NIST 800-53 Controls'],kinesis_stream_encrypted_at_rest,"{'Code': {'CLI': 'aws kinesis start-stream-encryption --stream-name <your-stream-name> --encryption-type KMS --key-id <your-kms-key-id>', 'NativeIaC': 'https://docs.prowler.com/checks/aws/general-policies/bc_aws_general_22/#cloudformation', 'Other': 'https://docs.aws.amazon.com/securityhub/latest/userguide/kinesis-controls.html#kinesis-1', 'Terraform': 'https://docs.prowler.com/checks/aws/general-policies/bc_aws_general_22/#terraform'}, 'Recommendation': {'Text': 'Enable server-side encryption for Kinesis streams using AWS KMS keys to ensure that all data is encrypted before it is stored, protecting data at rest and reducing the risk of unauthorized access.', 'Url': 'https://docs.aws.amazon.com/streams/latest/dev/getting-started-with-sse.html'}}",medium,[],arn:partition:kinesis::account-id:stream/stream-name,AwsKinesisStream,"If Kinesis streams are not encrypted at rest, sensitive data stored in the stream could be exposed to unauthorized access or breaches. This could lead to potential data theft or misuse of unencrypted data."
aws,/Users/apple/Desktop/github/prowler/providers/aws/services/organizations/organizations_opt_out_ai_services_policy/organizations_opt_out_ai_services_policy.metadata.json,,https://docs.aws.amazon.com/organizations/latest/userguide/orgs_manage_policies_ai-opt-out_all.html,organizations,This control checks whether the AWS Organizations opt-out of AI services policy is enabled and whether child-accounts are disallowed to overwrite this policy. The control fails if the policy is not enabled or if child-accounts are not disallowed to overwrite this policy.,[],,Ensure that AWS Organizations opt-out of AI services policy is enabled and disallow child-accounts to overwrite this policy.,,[],,[],organizations_opt_out_ai_services_policy,"{'Code': {'CLI': '', 'NativeIaC': '', 'Other': '', 'Terraform': ''}, 'Recommendation': {'Text': 'Artificial Intelligence (AI) services opt-out policies enable you to control whether AWS AI services can store and use your content. Enable the AWS Organizations opt-out of AI services policy and disallow child-accounts to overwrite this policy.', 'Url': 'https://docs.aws.amazon.com/organizations/latest/userguide/disable-policy-type.html'}}",low,[],arn:partition:service::account-id:organization/organization-id,Other,"By default, AWS may be using your data to train its AI models. This may include data from your AWS CloudTrail logs, AWS Config rules, and AWS GuardDuty findings. If you opt out of AI services, AWS will not use your data to train its AI models."
