Function Name,Implementation Status,Compliance Frameworks Count,Compliance Frameworks,Primary API Function,Primary User Function,File Exists,Notes
accessanalyzer_enabled,,17,"cis_4.0_aws, kisa_isms_p_2023_aws, cis_3.0_aws, cis_1.4_aws, iso27001_2022_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, cis_1.5_aws",client = boto3.client('accessanalyzer'),list_analyzers(),YES,Serves 17 compliance requirements across 9 frameworks
accessanalyzer_enabled_without_findings,,12,"kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, aws_foundational_technical_review_aws, aws_account_security_onboarding_aws",client=boto3.client('accessanalyzer'),list_findings(),YES,Serves 12 compliance requirements across 5 frameworks
account_maintain_current_contact_details,,12,"cis_4.0_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, cis_3.0_aws, ens_rd2022_aws, cis_1.4_aws, iso27001_2022_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, cis_1.5_aws",client = boto3.client('account'),get_contact_information(),YES,Serves 12 compliance requirements across 11 frameworks
account_maintain_different_contact_details_to_security_billing_and_operations,,3,"kisa_isms_p_2023_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws","client1=boto3.client('organizations'), client2=boto3.client('support')","describe_account(), describe_contact()",YES,Serves 3 compliance requirements across 3 frameworks
account_security_contact_information_is_registered,,16,"aws_foundational_security_best_practices_aws, cis_4.0_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, cis_3.0_aws, ens_rd2022_aws, cis_1.4_aws, pci_4.0_aws, iso27001_2022_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, aws_account_security_onboarding_aws, cis_1.5_aws",client = boto3.client('support'),describe_cases(),YES,Serves 16 compliance requirements across 13 frameworks
account_security_questions_are_registered_in_the_aws_account,,10,"cis_4.0_aws, kisa_isms_p_2023_aws, aws_well_architected_framework_security_pillar_aws, cis_3.0_aws, ens_rd2022_aws, cis_1.4_aws, cis_2.0_aws, kisa_isms_p_2023_korean_aws, cis_1.5_aws",client = boto3.client('support'),describe_services(),YES,Serves 10 compliance requirements across 9 frameworks
acm_certificates_expiration_check,,49,"nist_csf_1.1_aws, pci_3.2.1_aws, gdpr_aws, nist_800_53_revision_5_aws, nist_800_53_revision_4_aws, soc2_aws, fedramp_moderate_revision_4_aws, nist_800_171_revision_2_aws, aws_foundational_security_best_practices_aws, fedramp_low_revision_4_aws, aws_well_architected_framework_security_pillar_aws, ffiec_aws, iso27001_2022_aws, kisa_isms_p_2023_korean_aws, hipaa_aws, mitre_attack_aws, rbi_cyber_security_framework_aws, pci_4.0_aws, kisa_isms_p_2023_aws, cisa_aws",client=boto3.client('acm'),"list_certificates(), describe_certificate()",YES,Serves 49 compliance requirements across 20 frameworks
acm_certificates_transparency_logs_enabled,,5,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('acm'),describe_certificate(),YES,Serves 5 compliance requirements across 3 frameworks
acm_certificates_with_secure_key_algorithms,,4,"aws_foundational_security_best_practices_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws, pci_4.0_aws",client=boto3.client('acm'),"list_certificates(), describe_certificate()",YES,Serves 4 compliance requirements across 4 frameworks
apigateway_restapi_authorizers_enabled,,8,"aws_well_architected_framework_security_pillar_aws, kisa_isms_p_2023_aws, kisa_isms_p_2023_korean_aws",client=boto3.client('apigateway'),"get_rest_apis(), get_authorizers()",YES,Serves 8 compliance requirements across 3 frameworks
