compliance_name,unique_key,id,name,description,check_count,service_count,check_functions_str,services_str,applied_services
cisa_aws,cisa_gen_001_001,your-systems-1,Your Systems-1,Learn what is on your network. Maintain inventories of hardware and software assets to know what is in play and at-risk from attack.,4,2,"['ec2_instance_managed_by_ssm', 'ec2_instance_older_than_specific_days', 'ssm_managed_compliant_patching', 'ec2_elastic_ip_unassigned']","['ssm', 'ec2']","['ec2', 'ssm']"
cisa_aws,cisa_gen_001_002,your-systems-2,Your Systems-2,Leverage automatic updates for all operating systems and third-party software.,3,3,"['rds_instance_minor_version_upgrade_enabled', 'redshift_cluster_automatic_upgrades', 'ssm_managed_compliant_patching']","['ssm', 'redshift', 'rds']","['rds', 'redshift', 'ssm']"
cisa_aws,cisa_gen_001_003,your-systems-3,Your Systems-3,Implement security configurations for all hardware and software assets.,84,23,"['apigateway_restapi_client_certificate_enabled', 'apigateway_restapi_logging_enabled', 'apigateway_restapi_waf_acl_attached', 'cloudtrail_multi_region_enabled', 'cloudtrail_s3_dataevents_read_enabled', 'cloudtrail_s3_dataevents_write_enabled', 'cloudtrail_multi_region_enabled', 'cloudtrail_kms_encryption_enabled', 'cloudtrail_log_file_validation_enabled', 'codebuild_project_user_controlled_buildspec', 'dynamodb_accelerator_cluster_encryption_enabled', 'dynamodb_tables_kms_cmk_encryption_enabled', 'dynamodb_tables_pitr_enabled', 'dynamodb_tables_pitr_enabled', 'ec2_ebs_volume_encryption', 'ec2_ebs_public_snapshot', 'ec2_ebs_default_encryption', 'ec2_instance_public_ip', 'efs_encryption_at_rest_enabled', 'efs_have_backup_enabled', 'elb_logging_enabled', 'elbv2_deletion_protection', 'elbv2_waf_acl_attached', 'elbv2_ssl_listeners', 'elb_ssl_listeners', 'emr_cluster_master_nodes_no_public_ip', 'opensearch_service_domains_encryption_at_rest_enabled', 'opensearch_service_domains_cloudwatch_logging_enabled', 'opensearch_service_domains_node_to_node_encryption_enabled', 'guardduty_is_enabled', 'iam_password_policy_minimum_length_14', 'iam_password_policy_lowercase', 'iam_password_policy_number', 'iam_password_policy_number', 'iam_password_policy_symbol', 'iam_password_policy_uppercase', 'iam_no_custom_policy_permissive_role_assumption', 'iam_aws_attached_policy_no_administrative_privileges', 'iam_customer_attached_policy_no_administrative_privileges', 'iam_inline_policy_no_administrative_privileges', 'iam_root_hardware_mfa_enabled', 'iam_root_mfa_enabled', 'iam_no_root_access_key', 'iam_rotate_access_key_90_days', 'iam_user_mfa_enabled_console_access', 'iam_user_mfa_enabled_console_access', 'iam_user_accesskey_unused', 'iam_user_console_access_unused', 'kms_cmk_rotation_enabled', 'awslambda_function_not_publicly_accessible', 'awslambda_function_not_publicly_accessible', 'cloudwatch_log_group_kms_encryption_enabled', 'cloudwatch_log_group_kms_encryption_enabled', 'rds_instance_enhanced_monitoring_enabled', 'rds_instance_backup_enabled', 'rds_instance_deletion_protection', 'rds_instance_storage_encrypted', 'rds_instance_backup_enabled', 'rds_instance_integration_cloudwatch_logs', 'rds_instance_multi_az', 'rds_instance_no_public_access', 'rds_instance_storage_encrypted', 'rds_snapshots_public_access', 'redshift_cluster_automated_snapshot', 'redshift_cluster_audit_logging', 'redshift_cluster_public_access', 's3_bucket_default_encryption', 's3_bucket_secure_transport_policy', 's3_bucket_server_access_logging_enabled', 's3_bucket_public_access', 's3_bucket_policy_public_write_access', 's3_bucket_object_versioning', 's3_account_level_public_access_blocks', 's3_bucket_public_access', 'sagemaker_training_jobs_volume_and_output_encryption_enabled', 'sagemaker_notebook_instance_without_direct_internet_access_configured', 'sagemaker_notebook_instance_encryption_enabled', 'secretsmanager_automatic_rotation_enabled', 'securityhub_enabled', 'sns_topics_kms_encryption_at_rest_enabled', 'vpc_endpoint_connections_trust_boundaries', 'ec2_securitygroup_default_restrict_traffic', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22', 'ec2_securitygroup_allow_ingress_from_internet_to_all_ports']","['codebuild', 'opensearch', 'securityhub', 'cloudwatch', 'kms', 'ec2', 'sns', 'elbv2', 'guardduty', 'vpc', 'emr', 'iam', 'redshift', 'awslambda', 'secretsmanager', 'efs', 's3', 'elb', 'rds', 'dynamodb', 'sagemaker', 'apigateway', 'cloudtrail']","['apigateway', 'cloudtrail', 'codebuild', 'dynamodb', 'ec2', 'efs', 'elb', 'elbv2', 'emr', 'guardduty', 'iam', 'kms', 'opensearch', 'rds', 'redshift', 's3', 'sagemaker', 'secretsmanager', 'securityhub', 'sns', 'vpc']"
cisa_aws,cisa_gen_001_001,your-surroundings-1,Your Surroundings-1,"Learn who is on your network. Maintain inventories of network connections (user accounts, vendors, business partners, etc.).",2,2,"['ec2_elastic_ip_unassigned', 'vpc_flow_logs_enabled']","['ec2', 'vpc']",
cisa_aws,cisa_gen_001_002,your-surroundings-2,Your Surroundings-2,"Leverage multi-factor authentication for all users, starting with privileged, administrative and remote access users.",3,1,"['iam_root_hardware_mfa_enabled', 'iam_root_mfa_enabled', 'iam_user_mfa_enabled_console_access']",['iam'],
cisa_aws,cisa_gen_001_003,your-surroundings-3,Your Surroundings-3,Grant access and admin permissions based on need-to-know and least privilege.,6,2,"['elbv2_ssl_listeners', 'iam_no_custom_policy_permissive_role_assumption', 'iam_aws_attached_policy_no_administrative_privileges', 'iam_customer_attached_policy_no_administrative_privileges', 'iam_inline_policy_no_administrative_privileges', 'iam_no_root_access_key']","['elbv2', 'iam']",
cisa_aws,cisa_gen_001_004,your-surroundings-4,Your Surroundings-4,Leverage unique passwords for all user accounts.,6,1,"['iam_password_policy_minimum_length_14', 'iam_password_policy_lowercase', 'iam_password_policy_number', 'iam_password_policy_number', 'iam_password_policy_symbol', 'iam_password_policy_uppercase']",['iam'],
cisa_aws,cisa_gen_001_001,your-data-1,Your Data-1,Learn how your data is protected.,13,10,"['efs_encryption_at_rest_enabled', 'cloudtrail_kms_encryption_enabled', 'dynamodb_tables_kms_cmk_encryption_enabled', 'ec2_ebs_volume_encryption', 'ec2_ebs_default_encryption', 'opensearch_service_domains_encryption_at_rest_enabled', 'rds_instance_storage_encrypted', 'rds_instance_storage_encrypted', 'redshift_cluster_audit_logging', 's3_bucket_default_encryption', 'sagemaker_training_jobs_volume_and_output_encryption_enabled', 'sagemaker_notebook_instance_encryption_enabled', 'sns_topics_kms_encryption_at_rest_enabled']","['opensearch', 'efs', 'sns', 'redshift', 's3', 'dynamodb', 'sagemaker', 'ec2', 'rds', 'cloudtrail']",
cisa_aws,cisa_gen_001_002,your-data-2,Your Data-2,"Learn what is happening on your network, manage network and perimeter components, host and device components, data-at-rest and in-transit, and user behavior activities.",49,18,"['acm_certificates_expiration_check', 'apigateway_restapi_client_certificate_enabled', 'apigateway_restapi_logging_enabled', 'efs_have_backup_enabled', 'cloudtrail_multi_region_enabled', 'cloudtrail_s3_dataevents_read_enabled', 'cloudtrail_s3_dataevents_write_enabled', 'cloudtrail_multi_region_enabled', 'cloudwatch_log_metric_filter_and_alarm_for_cloudtrail_configuration_changes_enabled', 'cloudwatch_log_group_kms_encryption_enabled', 'dynamodb_tables_kms_cmk_encryption_enabled', 'ec2_ebs_volume_encryption', 'ec2_instance_public_ip', 'efs_encryption_at_rest_enabled', 'elb_logging_enabled', 'elbv2_waf_acl_attached', 'elbv2_ssl_listeners', 'elb_ssl_listeners', 'emr_cluster_master_nodes_no_public_ip', 'opensearch_service_domains_encryption_at_rest_enabled', 'opensearch_service_domains_cloudwatch_logging_enabled', 'opensearch_service_domains_node_to_node_encryption_enabled', 'awslambda_function_not_publicly_accessible', 'awslambda_function_not_publicly_accessible', 'cloudwatch_log_group_kms_encryption_enabled', 'rds_instance_storage_encrypted', 'rds_instance_integration_cloudwatch_logs', 'rds_instance_no_public_access', 'rds_snapshots_public_access', 'rds_snapshots_public_access', 'redshift_cluster_audit_logging', 'redshift_cluster_public_access', 's3_bucket_default_encryption', 's3_bucket_secure_transport_policy', 'redshift_cluster_public_access', 's3_bucket_server_access_logging_enabled', 's3_bucket_public_access', 's3_bucket_policy_public_write_access', 's3_account_level_public_access_blocks', 's3_bucket_acl_prohibited', 'sagemaker_training_jobs_volume_and_output_encryption_enabled', 'sagemaker_notebook_instance_without_direct_internet_access_configured', 'sagemaker_notebook_instance_encryption_enabled', 'sns_topics_kms_encryption_at_rest_enabled', 'ec2_securitygroup_default_restrict_traffic', 'vpc_flow_logs_enabled', 'ec2_networkacl_allow_ingress_any_port', 'ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22', 'ec2_securitygroup_allow_ingress_from_internet_to_all_ports']","['opensearch', 'efs', 'sns', 'elbv2', 'redshift', 'vpc', 'ec2', 's3', 'acm', 'cloudwatch', 'dynamodb', 'elb', 'emr', 'sagemaker', 'awslambda', 'apigateway', 'rds', 'cloudtrail']",
cisa_aws,cisa_gen_001_004,your-data-4,Your Data-4,Establish regular automated backups and redundancies of key systems.,8,6,"['dynamodb_tables_pitr_enabled', 'efs_have_backup_enabled', 'elbv2_deletion_protection', 'rds_instance_backup_enabled', 'rds_instance_deletion_protection', 'rds_instance_backup_enabled', 'redshift_cluster_automated_snapshot', 's3_bucket_object_versioning']","['efs', 'elbv2', 's3', 'dynamodb', 'redshift', 'rds']",
